,X_UTME,Y_UTMN,Z_TVDSS,POLY_ID
564,461299.328827,5935287.423828,1661.879883,3
565,461300.777161,5935273.583008,1661.35022,3
566,461307.439423,5935212.882568,1659.484375,3
567,461324.166077,5935126.140869,1656.808228,3
568,461345.166077,5935021.488525,1653.578613,3
569,461364.478836,5934950.870117,1651.392456,3
570,461397.605316,5934840.825928,1647.981689,3
571,461417.821152,5934784.385986,1646.228027,3
572,461426.322952,5934760.723755,1645.538696,3
573,461464.444901,5934659.85022,1642.595093,3
574,461511.739349,5934551.997559,1639.430786,3
575,461591.043545,5934362.151855,1633.871094,3
576,461615.997171,5934300.602905,1630.864502,3
577,464726.762451,5930919.05896,1720.77356,4
578,464945.402832,5930765.406372,1728.77063,4
579,465065.609863,5930675.531738,1733.315918,4
580,465161.973389,5930603.17334,1737.385254,4
581,465166.318848,5930600.030762,1737.403809,4
582,465274.870117,5930516.113037,1737.885864,4
583,465283.484863,5930508.358154,1737.927856,4
584,465402.799316,5930398.2146,1741.952637,4
585,465412.523682,5930389.006348,1742.291138,4
586,465440.681641,5930359.798828,1743.387329,4
587,465503.309814,5930294.836426,1745.825317,4
588,465550.101074,5930246.38208,1747.643188,4
589,465561.17627,5930234.458496,1748.094238,4
590,465614.585938,5930175.1521,1750.351196,4
591,465668.545654,5930115.235107,1752.631348,4
592,465693.695312,5930089.941162,1750.800293,4
593,465778.685547,5930008.989502,1744.656738,4
594,465778.582031,5930009.816406,1743.825684,4
595,465775.657227,5930033.229492,1720.298706,4
596,465716.378906,5930094.325439,1719.250244,4
597,465683.564209,5930130.038086,1718.660034,4
598,465633.802734,5930188.407227,1713.134644,4
599,465535.991211,5930299.388428,1702.454224,4
600,465442.947998,5930401.213379,1692.474731,4
601,465394.295654,5930449.189941,1687.509766,4
602,465350.150391,5930492.328613,1683.023682,4
603,465307.077393,5930533.280762,1680.076538,4
604,465189.642822,5930629.484131,1672.090088,4
605,465161.094727,5930653.077881,1669.86377,4
606,465042.557373,5930745.141724,1660.671021,4
607,465039.318115,5930747.55603,1660.559082,4
608,464744.556152,5930954.062866,1650.731323,4
609,464664.883057,5931008.324463,1648.117676,4
610,464483.414795,5931122.103149,1642.434937,4
611,464410.903809,5931166.772461,1641.463013,4
612,464333.805176,5931211.707275,1640.470703,4
613,464179.009521,5931291.756958,1638.641479,4
614,464106.912842,5931328.522095,1638.749023,4
615,464045.243164,5931357.331299,1638.895874,4
616,463913.977783,5931409.193848,1639.405518,4
617,463850.521484,5931435.141602,1639.633667,4
618,463653.708496,5931496.782959,1640.733398,4
619,463621.061523,5931509.218506,1640.869873,4
620,463571.135132,5931527.584961,1642.699097,4
621,463411.440552,5931571.22522,1648.484863,4
622,463310.026001,5931599.746582,1649.839355,4
623,463109.811157,5931656.354126,1652.516968,4
624,462848.456665,5931733.595642,1656.052246,4
